Data,Est.class,Peak,AR,Dimming
2012-8-7,C1,10:28,AR1542,6
2012-8-7,C4,13:32,AR1542,7
2012-8-7,C2,18:52,AR1542,10
2012-8-7,C2,23:52,AR1542,11
2012-8-8,C2,04:10,AR1540,11
2012-8-8,C7,11:40,AR1542,19
2012-8-8,C1,14:08,AR1542,10
2012-8-8,C1,14:48,AR1542,9
2012-8-8,C2,16:22,AR1542,15
2012-8-9,C2,00:16,,12
2012-8-9,C1,02:34,AR1542,20
2012-8-9,C6,05:34,AR1538,6
2012-8-9,C1,07:16,,9
2012-8-9,M1,11:52,AR1542,65
2012-8-9,C1,22:48,AR1542,8
2012-8-10,C5,04:32,AR1542,35
2012-8-10,C2,17:42,AR1544,9
2012-8-11,M1,12:26,AR1540,59
2012-8-11,C2,16:46,AR1542,17
2012-8-13,C3,12:44,AR1543,14
2012-8-14,C4,00:38,AR1543,12
2012-8-16,C5,13:24,AR1543,40
2012-8-17,C1,05:26,,10
2012-8-17,C3,08:46,,13
2012-8-17,C9,13:24,,23
2012-8-17,C1,15:38,,12
2012-8-17,C1,16:14,,6
2012-8-17,M1,17:24,,21
2012-8-17,C1,18:00,,6
2012-8-18,M3,01:06,,51
2012-8-18,M1,03:34,,28
2012-8-18,C5,06:26,,26
2012-8-18,C2,09:02,,23
2012-8-18,C1,10:38,,5
2012-8-18,C1,13:40,,7
2012-8-18,C2,14:28,,14
2012-8-18,C2,15:12,,10
2012-8-18,C2,16:16,,20
2012-8-18,C3,19:18,,10
2012-8-18,C1,21:30,,11
2012-8-18,M2,22:58,,15
2012-8-18,M2,23:28,,28
2012-8-19,C2,02:46,AR1548,23
2012-8-19,C2,04:26,AR1548,27
2012-8-19,C2,05:46,AR1548,25
2012-8-19,C2,23:38,,13
2012-8-25,C2,02:48,AR1554,24
2012-8-29,C1,13:58,,9
2012-8-29,C5,20:02,,12
2012-8-30,C3,01:56,AR1554,21
2012-8-30,C4,02:42,,39
2012-8-30,C1,04:56,,16
2012-8-30,C1,09:04,AR1554,16
2012-8-30,C6,09:20,,52
2012-8-30,C6,12:24,,34
2012-8-30,C1,13:26,,9
2012-8-30,C3,20:08,,18
2012-8-30,C4,21:48,,18
2012-8-31,C2,00:54,AR1554,53
2012-8-31,C2,02:54,,20
2012-8-31,C2,07:26,AR1560,9
2012-8-31,C2,10:00,,16
2012-8-31,C3,14:18,,15
2012-8-31,C3,16:18,,15
2012-8-31,C8,20:52,AR1562,67
2012-9-1,C2,00:46,AR1554,16
2012-9-1,C1,11:24,AR1564,19
2012-9-1,C2,12:32,AR1560,14
2012-9-1,C2,18:34,,8
2012-9-1,C2,19:12,AR1564,55
2012-9-1,C1,23:34,AR1564,42
2012-9-2,C2,02:04,AR1560,13
2012-9-2,C1,03:54,AR1564,14
2012-9-2,C1,09:32,AR1560,6
2012-9-2,C2,10:24,AR1553,19
2012-9-2,C7,18:14,AR1560,9
2012-9-2,C2,22:40,AR1564,20
2012-9-3,C1,01:56,AR1564,11
2012-9-3,C5,02:50,AR1564,10
2012-9-3,C3,10:56,AR1564,52
2012-9-3,C3,13:26,AR1564,27
2012-9-3,C1,14:22,AR1564,13
2012-9-3,C3,22:14,AR1564,13
2012-9-3,C1,23:36,AR1564,14
2012-9-3,C2,23:36,,18
2012-9-4,C3,05:10,AR1564,17
2012-9-4,C1,06:44,AR1564,9
2012-9-4,C1,09:52,AR1564,9
2012-9-5,C1,02:44,,15
2012-9-5,C6,03:56,AR1564,28
2012-9-5,M1,08:24,AR1564,47
2012-9-5,C1,20:14,AR1560,9
2012-9-6,C2,02:12,AR1560,17
2012-9-6,C2,02:40,AR1564,9
2012-9-6,C2,03:20,AR1560,5
2012-9-6,M2,04:16,AR1560,32
2012-9-6,C2,07:58,AR1564,8
2012-9-6,M1,15:46,AR1560,34
2012-9-7,C4,00:48,AR1560,34
2012-9-7,C1,22:52,AR1564,8
2012-9-8,C2,08:02,AR1564,13
2012-9-8,C1,10:36,AR1562,7
2012-9-8,M2,18:18,AR1564,39
2012-9-9,C2,15:02,,13
2012-9-9,M1,22:44,AR1564,54
2012-9-10,C2,09:34,AR1564,19
2012-9-10,C3,12:58,AR1564,10
2012-9-10,C2,21:34,AR1564,13
2012-9-10,C7,00:06,AR1564,23
2012-9-11,C3,01:14,AR1569,31
2012-9-11,C1,09:36,,8
2012-9-11,C2,11:20,,22
2012-9-11,C5,22:12,,61
2012-9-13,C3,05:16,,27
2012-9-13,C1,08:00,,15
2012-9-13,C3,08:48,,23
2012-9-13,C1,16:02,AR1569,4
2012-9-13,C1,18:22,AR1569,4
2012-9-15,C1,23:00,AR1566,7
2012-9-17,C2,11:58,,18
2012-9-17,C2,14:12,,15
2012-9-18,C1,10:12,,17
2012-9-19,C3,15:20,,12
2012-9-19,C1,16:50,,12
2012-9-20,C1,11:44,AR1574,14
2012-9-24,C1,19:34,,10
2012-9-25,C1,02:50,AR1575,9
2012-9-25,C2,04:34,AR1577,14
2012-9-25,C3,04:42,,18
2012-9-25,C6,17:56,,10
2012-9-27,C5,17:26,AR1579,13
2012-9-27,C4,00:02,AR1577,30
2012-9-29,C1,17:22,AR1575,51
2012-9-29,C1,19:44,AR1575,17
2012-9-30,M1,04:58,,33
2012-9-30,C4,07:38,AR1577,36
2012-9-30,C2,21:30,,70
2012-9-30,C4,23:48,,17
2012-10-1,C2,01:52,,16
2012-10-1,C5,13:24,,50
2012-10-1,C4,16:46,,47
2012-10-2,C1,14:08,,23
2012-10-8,C3,09:08,,19
2012-10-8,M2,11:52,,49
2012-10-8,C1,15:32,,33
2012-10-9,C2,00:14,,15
2012-10-9,C2,03:46,,17
2012-10-9,C2,15:08,,20
2012-10-9,C4,15:32,,16
2012-10-9,C2,20:56,,13
2012-10-9,C3,22:28,,42
2012-10-9,C8,23:44,,23
2012-10-10,C2,01:48,,20
2012-10-10,C5,03:12,,27
2012-10-10,M1,05:12,,27
2012-10-10,C6,05:20,AR1589,30
2012-10-10,C2,07:08,,10
2012-10-10,C2,14:32,AR1585,5
2012-10-11,C1,04:30,AR1585,3
2012-10-11,C5,08:08,AR1589,11
2012-10-11,C1,22:46,AR1589,8
2012-10-12,M1,08:28,AR1589,36
2012-10-13,C1,00:06,AR1589,14
2012-10-14,C5,02:50,,48
2012-10-14,C2,20:36,AR1591,21
2012-10-14,C3,22:06,AR1591,17
2012-10-15,C1,03:38,,13
2012-10-15,C4,04:30,,22
2012-10-15,C1,08:12,AR1591,9
2012-10-15,C1,15:28,AR1591,4
2012-10-15,C3,15:52,,48
2012-10-16,C2,06:56,AR1591,7
2012-10-16,C3,16:34,AR1589,17
2012-10-17,C8,08:16,,19
2012-10-18,C1,23:06,,15
2012-10-19,C2,05:32,AR1589,19
2012-10-19,C1,18:58,AR1594,11
2012-10-20,C1,14:54,,13
2012-10-20,C2,17:40,,20
2012-10-20,M9,18:16,,88
2012-10-21,C7,03:12,,48
2012-10-21,C4,05:36,,38
2012-10-21,C1,07:28,,13
2012-10-21,C1,13:08,,17
2012-10-21,M1,20:40,,49
2012-10-22,C2,00:28,AR1598,32
2012-10-22,C6,16:06,AR1598,31
2012-10-22,M3,19:04,AR1598,50
2012-10-23,M8,03:18,AR1598,58
2012-10-23,C1,06:12,AR1598,6
2012-10-23,C2,08:26,AR1593,35
2012-10-23,C2,10:48,AR1598,32
2012-10-23,C3,15:06,AR1598,9
2012-10-23,C2,18:40,AR1598,10
2012-10-24,C2,01:30,AR1593,28
2012-10-24,C3,05:42,AR1598,34
2012-10-24,C3,09:30,AR1598,22
2012-10-24,C1,14:58,AR1598,26
2012-10-25,C2,04:24,AR1593,16
2012-10-25,C1,04:24,AR1598,10
2012-10-26,C1,06:44,,6
2012-10-31,C2,05:12,,9
2012-10-31,C1,11:42,AR1598,6
2012-11-5,C2,18:46,,14
2012-11-8,M3,02:28,,84
2012-11-10,C3,05:28,AR1608,32
2012-11-10,C1,11:10,,15
2012-11-10,C1,17:26,,8
2012-11-11,M1,02:46,,33
2012-11-11,C1,05:38,,20
2012-11-12,C3,10:24,AR1613,6
2012-11-12,C2,12:20,AR1610,24
2012-11-12,C2,18:54,AR1613,16
2012-11-12,C1,21:40,AR1613,6
2012-11-12,M3,23:32,AR1613,15
2012-11-13,C5,00:24,AR1613,7
2012-11-13,C5,01:20,AR1613,9
2012-11-13,M7,02:06,AR1613,10
2012-11-13,M4,05:54,AR1613,10
2012-11-13,C7,06:58,AR1613,9
2012-11-13,C2,08:08,AR1614,6
2012-11-13,C4,10:14,AR1613,6
2012-11-13,C3,17:46,AR1613,9
2012-11-14,C1,23:44,AR1613,8
2012-11-15,C8,04:44,,30
2012-11-15,C3,08:04,,8
2012-11-15,C4,13:00,,20
2012-11-15,C3,14:32,,8
2012-11-16,M2,15:42,,12
2012-11-16,C1,19:58,,7
2012-11-16,C1,22:08,,5
2012-11-17,C2,03:12,,18
2012-11-17,C2,16:10,,13
2012-11-17,C3,18:12,,7
2012-11-18,C7,04:08,,17
2012-11-18,C4,13:08,,8
2012-11-19,M2,02:30,,13
2012-11-19,C1,11:08,,12
2012-11-20,C3,02:14,,55
2012-11-20,C1,04:12,,21
2012-11-20,C6,06:36,,16
2012-11-20,C1,12:44,,16
2012-11-20,M2,12:44,,16
2012-11-20,C3,15:32,,21
2012-11-20,M3,19:30,,18
2012-11-20,C3,23:14,,18
2012-11-21,M3,07:02,,35
2012-11-21,C5,09:42,,15
2012-11-21,M5,15:36,,49
2012-11-21,C1,16:48,,9
2012-11-21,C2,21:20,,10
2012-11-24,C5,13:42,,8
2012-11-25,C1,20:18,,8
2012-11-26,C1,00:44,,11
2012-11-26,C1,10:38,,23
2012-11-26,C2,12:16,,29
2012-11-26,C2,15:28,,29
2012-11-26,C3,21:28,,23
2012-11-27,C6,02:22,,18
2012-11-27,C1,09:18,,4
2012-11-27,C1,11:32,,6
2012-11-27,C2,13:38,,16
2012-11-27,C1,14:44,,10
2012-11-27,C1,15:36,,20
2012-11-27,M2,16:00,,20
2012-11-27,C1,17:10,,16
2012-11-27,C5,18:18,,12
2012-11-27,C1,19:42,,16
2012-11-27,C1,20:40,,8
2012-11-27,C2,21:20,,10
2012-11-27,M1,21:28,,29
2012-11-27,C9,23:34,,31
2012-11-28,C4,02:58,,7
2012-11-28,C2,09:58,,21
2012-11-28,C6,12:28,,72
2012-11-28,C4,18:02,,54
2012-11-28,C1,20:34,,13
2012-11-28,M4,21:46,,44
2012-11-28,C1,23:16,,10
2012-11-29,C2,02:40,,11
2012-11-29,C1,04:34,,11
2012-11-29,C1,06:14,,15
2012-11-29,C4,07:16,,18
2012-11-29,C2,11:24,,12
2012-11-29,C3,12:12,,37
2012-11-29,C4,12:12,,31
2012-11-29,C1,19:18,,29
2012-11-29,C1,20:46,,9
2012-11-29,C1,21:52,,5
2012-11-29,C1,00:08,,24
2012-11-30,C3,00:26,,18
2012-11-30,C1,01:18,,8
2012-11-30,C1,09:18,,15
2012-11-30,C9,17:56,,61
2012-12-1,C3,10:38,,28
2012-12-1,C1,21:48,,13
2012-12-1,C1,23:04,,18
2012-12-3,C1,00:46,,12
2012-12-5,C3,00:32,,29
2012-12-5,C1,17:58,,17
2012-12-7,C4,21:24,,12
2012-12-9,C1,17:50,,6
2012-12-10,M1,06:00,,6
2012-12-12,C9,07:28,,7
2012-12-12,C1,13:38,,11
2012-12-13,C2,19:26,,11
2012-12-21,C2,23:58,,13
2012-12-22,C2,04:08,,5
2012-12-22,C1,22:22,,3
2012-12-24,C2,16:18,,8
2012-12-24,C1,22:28,,6
2012-12-25,C1,06:44,,4
2012-12-25,C2,10:42,,12
2012-12-25,C4,13:06,,5
2012-12-25,C2,18:12,,6
2012-12-26,C4,04:56,,7
2012-12-26,C2,08:52,,14
2012-12-26,C1,11:26,,4
2012-12-26,C2,17:14,,24
2012-12-26,C1,20:52,,7
2012-12-29,C2,19:36,AR1638,8
2013-1-1,C1,09:08,AR1640,11
2013-1-5,C1,04:50,,17
2013-1-5,C2,09:34,,5
2013-1-5,C1,16:36,,10
2013-1-5,C1,21:42,,11
2013-1-6,C3,03:08,,13
2013-1-6,C2,09:56,,18
2013-1-6,C2,12:58,,15
2013-1-7,C1,07:48,,6
2013-1-7,C1,08:56,,10
2013-1-8,C2,19:14,,14
2013-1-9,C1,10:08,,25
2013-1-9,C1,11:28,,11
2013-1-10,C2,09:38,AR1654,13
2013-1-10,C2,16:16,,27
2013-1-10,C7,17:50,,19
2013-1-10,C3,20:14,AR1654,25
2013-1-10,C1,21:40,AR1654,4
2013-1-11,C3,02:52,AR1654,10
2013-1-11,C1,04:04,AR1654,10
2013-1-11,C2,05:38,AR1654,9
2013-1-11,C8,06:16,AR1654,14
2013-1-11,C3,06:44,AR1654,20
2013-1-11,C9,09:16,AR1654,19
2013-1-11,M1,15:18,AR1654,36
2013-1-11,C4,20:06,AR1654,25
2013-1-11,C2,21:12,AR1654,10
2013-1-12,C3,02:26,AR1654,22
2013-1-12,C1,03:42,AR1654,13
2013-1-12,C2,05:56,AR1654,12
2013-1-12,C4,19:38,AR1654,9
2013-1-12,C2,21:42,AR1654,10
2013-1-12,C1,22:00,AR1652,4
2013-1-13,M1,00:50,AR1652,4
2013-1-13,C2,07:00,AR1652,4
2013-1-13,M3,08:38,AR1652,5
2013-1-13,C1,15:54,AR1652,4
2013-1-13,C1,17:44,AR1652,5
2013-1-14,C4,01:24,AR1652,7
2013-1-14,C4,15:52,AR1654,14
2013-1-14,C1,17:26,AR1654,7
2013-1-15,C1,05:58,AR1654,3
2013-1-15,C2,22:58,AR1654,6
2013-1-18,C5,17:08,,8
2013-1-18,C1,17:10,AR1654,6
2013-1-18,C2,17:50,AR1654,7
2013-1-19,C1,03:52,AR1659,6
2013-1-20,C2,14:36,,11
2013-1-28,C1,18:46,,27
2013-2-2,C1,05:12,AR1665,6
2013-2-2,C2,20:02,AR1667,21
2013-2-3,C2,02:28,AR1667,11
2013-2-3,C1,04:58,AR1667,13
2013-2-3,M1,06:12,AR1667,21
2013-2-3,C2,08:24,AR1667,20
2013-2-4,C2,15:02,,5
2013-2-4,C1,20:46,,8
2013-2-5,M1,08:22,,9
2013-2-6,M1,00:28,AR1667,41
2013-2-9,C2,06:52,,38
2013-2-12,C1,18:00,AR1670,7
2013-2-14,C1,04:34,,13
2013-2-15,C1,15:46,,7
2013-2-17,C7,15:52,AR1675,29
2013-2-20,C5,11:12,AR1678,3
2013-2-21,C1,03:12,AR1678,11
2013-2-21,C1,04:18,AR1678,28
2013-2-21,C2,05:16,AR1678,20
2013-2-23,C5,16:16,,19
2013-2-23,C3,19:06,,17
2013-3-2,C2,15:22,,22
2013-3-2,C2,18:58,,18
2013-3-5,M2,07:56,AR1686,11
2013-3-5,C1,20:46,AR1686,6
2013-3-7,C2,16:46,,7
2013-3-11,C2,17:02,,20
2013-3-12,C1,11:08,AR1690,64
2013-3-12,C4,22:48,AR1689,3
2013-3-13,C1,16:22,AR1696,3
2013-3-14,C2,05:58,AR1691,13
2013-3-16,C2,05:44,AR1698,23
2013-3-18,C2,03:22,AR1698,4
2013-3-18,C1,23:20,,18
2013-3-19,C4,01:28,,38
2013-3-19,C1,16:20,,11
2013-3-20,C2,01:12,,28
2013-3-21,C4,18:26,,20
2013-3-21,C2,20:32,,16
2013-3-21,M2,22:14,,58
2013-3-22,C2,02:40,,18
2013-3-22,C4,08:54,,17
2013-3-22,C1,18:52,,10
2013-4-3,C2,18:54,AR1711,15
2013-4-4,C1,10:00,AR1713,6
2013-4-5,M3,18:02,,33
2013-4-6,C1,21:44,AR1719,21
2013-4-7,C1,07:50,AR1718,15
2013-4-7,C3,16:02,AR1718,6
2013-4-9,C2,00:28,AR1713,15
2013-4-9,C1,07:26,AR1718,8
2013-4-9,C1,09:14,AR1718,4
2013-4-9,C1,11:44,AR1718,8
2013-4-10,C1,02:20,AR1718,7
2013-4-10,C3,23:46,,39
2013-4-11,M8,07:24,AR1719,85
2013-4-11,C1,07:50,AR1718,7
2013-4-11,C2,10:14,AR1721,2
2013-4-11,C6,11:02,,33
2013-4-11,C2,11:10,AR1718,33
2013-4-11,C2,12:52,AR1718,9
2013-4-11,C4,23:24,,38
2013-4-12,C2,04:20,AR1718,13
2013-4-12,C1,09:30,,12
2013-4-12,C2,18:52,AR1718,21
2013-4-12,M5,20:40,AR1718,51
2013-4-13,C1,01:46,AR1719,11
2013-4-13,C2,03:36,AR1718,4
2013-4-13,C1,09:32,,8
2013-4-13,C1,19:58,AR1718,7
2013-4-15,C1,09:28,AR1718,7
2013-4-15,C1,14:04,AR1723,4
2013-4-16,C1,07:42,AR1723,9
2013-4-16,C1,16:48,AR1719,10
2013-4-16,C5,21:44,AR1719,42
2013-4-16,C1,23:32,AR1723,10
2013-4-17,C1,04:46,AR1719,21
2013-4-18,C1,08:24,,17
2013-4-18,C8,18:34,,70
2013-4-19,C1,14:50,,10
2013-4-20,C1,03:54,AR1726,13
2013-4-20,C2,08:04,AR1726,12
2013-4-21,C3,01:10,AR1726,27
2013-4-21,C1,06:02,AR1726,1
2013-4-21,C1,09:24,AR1726,24
2013-4-21,C1,16:06,AR1726,13
2013-4-21,C2,18:42,AR1726,6
2013-4-21,C2,20:22,AR1723,26
2013-4-22,C3,10:32,AR1726,6
2013-4-23,C5,14:16,AR1726,5
2013-4-23,C3,18:36,,25
2013-4-24,C2,17:08,AR1726,21
2013-4-24,C1,23:02,AR1726,24
2013-4-25,C2,00:26,AR1726,24
2013-4-25,C2,08:38,,13
2013-4-25,C3,10:54,AR1726,16
2013-4-25,C2,11:10,,34
2013-4-25,C5,17:30,AR1726,33
2013-4-25,C7,19:42,AR1726,32
2013-4-25,C7,22:04,AR1726,27
2013-4-26,C1,04:28,AR1726,10
2013-4-26,C6,06:30,,23
2013-4-26,C2,07:22,,24
2013-4-26,C2,09:00,,39
2013-4-26,C2,12:58,,16
2013-4-26,C3,16:08,,36
2013-4-26,C2,18:52,,20
2013-4-26,C3,22:28,,59
2013-4-27,C3,03:00,,45
2013-4-27,C2,06:30,,14
2013-4-27,C2,12:34,,26
2013-4-27,C1,15:28,,25
2013-4-28,C1,06:14,AR1731,4
2013-4-28,C2,15:56,AR1731,11
2013-4-28,C2,18:06,AR1731,4
2013-4-28,C1,20:10,,24
2013-4-28,C4,20:20,AR1733,20
2013-4-29,C1,00:10,AR1731,9
2013-4-29,C2,02:32,AR1732,9
2013-4-29,C2,02:50,,42
2013-4-29,C2,03:20,AR1731,5
2013-4-29,C2,05:22,AR1732,25
2013-4-29,C2,05:58,AR1731,10
2013-4-29,C5,19:34,AR1733,8
2013-4-29,C3,20:36,AR1730,23
2013-4-29,C3,22:02,AR1731,10
2013-4-30,C1,02:00,AR1730,9
2013-4-30,C3,20:04,AR1730,14
2013-4-30,C1,20:50,AR1730,10
2013-4-30,C2,23:02,AR1730,12
2013-5-1,C6,01:26,AR1730,13
2013-5-1,C3,01:58,AR1730,12
2013-5-1,C2,04:18,AR1732,11
2013-5-1,C2,05:28,AR1731,8
2013-5-1,C1,06:58,AR1731,16
2013-5-1,C4,07:32,AR1730,10
2013-5-1,C1,12:06,AR1731,7
2013-5-1,C5,14:16,AR1731,18
2013-5-1,C4,20:38,AR1731,11
2013-5-2,M1,05:16,AR1731,17
2013-5-2,C2,20:48,AR1734,5
2013-5-2,C2,22:02,AR1734,8
2013-5-3,C1,00:38,AR1730,4
2013-5-3,M2,17:02,AR1731,38
2013-5-3,M5,17:34,,58
2013-5-4,C1,03:20,AR1734,9
2013-5-4,C4,08:02,AR1739,16
2013-5-4,C2,12:30,AR1734,3
2013-5-4,C7,12:38,AR1739,26
2013-5-5,C4,01:02,AR1739,24
2013-5-5,C1,03:18,AR1739,10
2013-5-5,C3,06:52,AR1739,16
2013-5-5,C3,16:26,AR1739,42
2013-5-5,C4,17:58,AR1739,13
2013-5-5,C2,20:02,AR1739,9
2013-5-6,C1,00:16,AR1739,7
2013-5-6,C2,02:06,AR1739,9
2013-5-7,C1,08:26,AR1734,10
2013-5-7,C2,15:58,,12
2013-5-8,C2,00:24,AR1738,9
2013-5-9,C3,05:26,AR1734,10
2013-5-9,C4,18:00,,32
2013-5-9,C1,22:16,,19
2013-5-9,C7,23:34,,45
2013-5-10,M4,01:08,,49
2013-5-10,C2,02:46,AR1744,6
2013-5-10,C1,03:06,AR1734,18
2013-5-10,C1,04:14,,9
2013-5-10,C1,09:56,,9
2013-5-10,M2,13:02,,33
2013-5-10,C2,14:42,,8
2013-5-10,C2,16:46,AR1739,36
2013-5-10,C1,22:50,,10
2013-5-11,C2,14:04,AR1745,19
2013-5-11,C1,16:46,,12
2013-5-11,C7,20:00,,48
2013-5-12,C1,04:42,,9
2013-5-12,C1,08:44,AR1746,11
2013-5-12,C1,09:08,,9
2013-5-12,C1,11:10,,6
2013-5-12,C1,16:04,AR1745,7
2013-5-12,M1,21:04,,61
2013-5-12,C7,22:52,,18
2013-5-13,C7,00:44,,27
2013-5-13,X1,02:24,,107
2013-5-13,C3,05:34,,42
2013-5-13,C2,08:46,,10
2013-5-13,C1,09:36,,16
2013-5-13,C5,12:16,,26
2013-5-13,C2,12:58,,15
2013-5-13,X2,16:14,,238
2013-5-13,C5,22:10,,27
2013-5-14,X3,01:14,,168
2013-5-14,C1,18:48,AR1748,35
2013-5-14,C2,22:28,AR1748,37
2013-5-15,X2,01:52,AR1748,160
2013-5-16,C5,19:28,AR1748,10
2013-5-16,M1,22:02,AR1748,40
2013-5-17,C2,04:42,AR1744,1
2013-5-17,M3,09:02,AR1748,136
2013-5-18,C5,03:50,AR1748,32
2013-5-18,C1,18:24,AR1748,6
2013-5-19,C2,09:22,AR1750,16
2013-5-19,C6,15:26,AR1750,20
2013-5-19,C2,16:12,,23
2013-5-19,M1,17:58,,70
2013-5-19,C3,21:24,AR1750,25
2013-5-19,C2,21:54,,26
2013-5-20,C2,00:52,AR1750,13
2013-5-20,M2,06:02,,62
2013-5-20,C1,08:12,AR1748,4
2013-5-20,C1,11:24,AR1748,4
2013-5-20,C2,14:30,AR1748,6
2013-5-20,C7,15:06,AR1748,7
2013-5-20,C8,16:28,AR1748,17
2013-5-21,C1,22:12,,7
2013-5-21,C2,22:42,,9
2013-5-22,C1,00:56,AR1756,7
2013-5-22,M5,13:44,,121
2013-5-22,C3,13:50,,37
2013-5-22,C1,20:14,AR1756,12
2013-5-23,C1,04:24,AR1756,16
2013-5-23,C3,15:02,AR1756,15
2013-5-23,C2,15:44,AR1756,14
2013-5-23,C1,17:02,AR1756,22
2013-5-23,C2,18:54,AR1756,14
2013-5-24,C1,01:30,,8
2013-5-24,C2,16:36,AR1756,4
2013-5-25,C1,01:34,AR1756,4
2013-5-25,C2,10:56,AR1755,12
2013-5-26,C4,10:04,AR1756,16
2013-5-29,C3,22:38,,8
2013-5-30,C1,14:34,AR1760,7
2013-5-31,C1,11:28,AR1761,18
2013-5-31,M2,20:02,AR1760,18
2013-6-2,C2,05:20,AR1762,20
2013-6-3,M1,07:32,AR1762,38
2013-6-3,C1,17:48,AR1762,17
2013-6-5,M1,09:12,AR1762,63
2013-6-7,C2,11:54,AR1762,8
2013-6-7,M6,22:54,,78
2013-6-8,C2,19:18,,24
2013-6-8,C2,23:08,,11
2013-6-9,C2,02:16,,23
2013-6-10,C2,14:26,AR1765,4
2013-6-13,C1,14:54,,6
2013-6-14,C1,00:24,AR1770,36
2013-6-16,C1,10:22,AR1769,7
2013-6-17,C1,04:02,AR1775,29
2013-6-18,C2,07:24,AR1775,13
2013-6-18,C1,23:12,,19
2013-6-19,C3,01:04,AR1776,18
2013-6-19,C3,07:34,AR1776,18
2013-6-19,C6,10:18,,44
2013-6-21,M4,03:26,AR1777,129
2013-6-21,C2,09:32,AR1772,17
2013-6-21,C1,19:38,AR1772,35
2013-6-22,C1,17:40,AR1773,8
2013-6-23,C4,20:56,AR1778,6
2013-6-24,C3,08:26,AR1778,5
2013-6-24,M2,11:36,AR1778,8
2013-6-24,C2,16:42,AR1775,5
2013-6-24,C4,20:52,AR1775,12
2013-6-26,C2,00:20,,8
2013-6-27,C1,08:18,AR1778,6
2013-6-28,C6,02:04,AR1777,47
2013-6-28,C6,03:46,AR1778,29
2013-6-28,C1,17:12,AR1778,13
2013-6-30,C3,15:18,,10
2013-6-30,C2,16:48,,26
2013-7-1,C1,12:42,,6
2013-7-1,C1,15:18,,17
2013-7-2,C4,17:52,AR1785,9
2013-7-2,C1,19:28,AR1780,13
2013-7-2,M1,00:02,,38
2013-7-3,C1,01:04,AR1780,7
2013-7-3,C3,03:40,AR1780,10
2013-7-3,M2,07:10,,49
2013-7-3,C1,09:10,AR1780,13
2013-7-3,C1,10:54,,13
2013-7-3,C2,12:08,,22
2013-7-3,C1,13:14,,9
2013-7-3,C2,16:54,,28
2013-7-3,C1,17:56,AR1785,21
2013-7-3,C6,20:08,AR1785,8
2013-7-3,C1,23:10,,16
2013-7-4,M1,00:10,AR1785,9
2013-7-4,C2,00:28,AR1785,13
2013-7-4,C4,02:06,AR1785,30
2013-7-4,C4,05:24,AR1785,4
2013-7-4,C2,11:44,AR1787,30
2013-7-4,C1,17:06,AR1787,22
2013-7-4,C8,19:00,AR1787,20
2013-7-4,C8,19:46,AR1787,37
2013-7-4,C3,21:02,AR1787,22
2013-7-5,C3,01:00,AR1787,11
2013-7-5,C1,02:52,AR1785,2
2013-7-5,C1,04:30,AR1785,5
2013-7-5,C2,07:10,AR1787,13
2013-7-5,C6,13:02,AR1787,65
2013-7-5,C3,15:54,AR1787,25
2013-7-5,C2,16:52,AR1787,23
2013-7-5,C4,19:56,AR1787,32
2013-7-5,C2,21:36,AR1785,6
2013-7-6,C2,01:16,AR1787,29
2013-7-6,C1,01:20,AR1785,7
2013-7-6,C3,02:34,AR1785,6
2013-7-6,C4,07:18,AR1787,26
2013-7-6,C1,21:56,AR1785,3
2013-7-7,C4,01:00,AR1785,4
2013-7-7,C2,03:24,AR1785,10
2013-7-7,C2,12:20,AR1785,9
2013-7-8,C8,01:22,AR1785,5
2013-7-8,C4,22:30,AR1785,13
2013-7-9,C2,02:56,AR1785,13
2013-7-9,C3,07:44,AR1785,20
2013-7-9,C2,13:36,AR1785,7
2013-7-10,C6,06:44,AR1787,30
2013-7-10,C3,00:12,AR1785,23
2013-7-11,C4,18:04,AR1785,49
2013-7-12,C1,00:04,AR1785,5
2013-7-12,C3,17:34,AR1785,22
2013-7-12,C2,22:36,AR1787,7
2013-7-13,C1,05:46,AR1791,15
2013-7-15,C3,03:52,AR1791,29
2013-7-15,C2,07:38,AR1793,8
2013-7-15,C2,10:58,AR1791,44
2013-7-16,C1,01:12,AR1791,15
2013-7-16,C2,10:18,AR1791,8
2013-7-18,C2,18:42,,41
2013-7-18,C2,20:22,,31
2013-7-20,C2,03:38,AR1793,5
2013-7-21,C4,08:48,AR1800,49
2013-7-24,C1,21:44,AR1800,17
2013-7-25,C1,06:10,AR1800,6
2013-7-25,C2,22:56,AR1800,16
2013-7-26,C2,21:54,AR1805,18
2013-7-28,C1,02:50,AR1800,13
2013-7-28,C3,06:28,AR1800,32
2013-7-28,C4,12:26,AR1800,16
2013-7-28,C1,16:04,AR1805,14
2013-7-28,C1,16:30,AR1800,22
2013-7-29,C4,16:58,,38
2013-7-29,C7,23:24,,25
2013-7-30,C4,22:28,,24
2013-7-31,C1,05:30,,30
2013-8-9,C3,20:34,,27
2013-8-10,C1,23:54,AR1814,9
2013-8-11,C1,01:30,AR1818,2
2013-8-11,C2,14:40,AR1817,25
2013-8-11,C1,16:50,AR1817,10
2013-8-11,C2,19:50,AR1817,22
2013-8-11,M1,22:04,AR1817,67
2013-8-12,M3,10:46,AR1817,52
2013-8-13,C2,11:56,,12
2013-8-13,C2,21:44,,10
2013-8-14,C1,00:36,,5
