Data,Est.class,Peak,AR,Dimming
2011-2-18,C2,17:56,AR1158,20
2011-2-18,C3,19:08,AR1161,63
2011-2-18,C3,19:26,AR1158,17
2011-2-18,M2,21:06,AR1161,51
2011-2-18,C2,22:36,AR1161,13
2011-2-19,C3,03:08,AR1162,29
2011-2-19,C9,08:08,AR1162,54
2011-2-19,C1,08:30,AR1158,16
2011-2-19,C3,08:54,AR1162,18
2011-2-19,C1,15:30,AR1162,13
2011-2-19,C1,16:44,AR1158,2
2011-2-19,C2,21:16,AR1158,14
2011-2-20,C1,03:58,AR1161,2
2011-2-21,C1,02:26,,4
2011-2-21,C1,05:08,,3
2011-2-21,C3,06:12,,5
2011-2-23,C2,12:26,AR1161,7
2011-2-24,M8,07:38,,64
2011-2-24,C2,13:56,,6
2011-2-24,C3,19:42,,14
2011-2-25,C1,17:32,,10
2011-2-26,C2,06:12,AR1164,11
2011-2-27,C5,03:56,AR1164,10
2011-2-28,C2,05:36,AR1164,27
2011-2-28,C1,06:46,AR1164,12
2011-2-28,C2,07:14,AR1164,10
2011-2-28,C3,07:40,AR1164,3
2011-2-28,C2,10:00,AR1164,15
2011-2-28,C2,12:12,AR1164,11
2011-2-28,M1,12:58,AR1164,42
2011-2-28,C1,15:54,AR1164,9
2011-2-28,C2,21:38,AR1164,19
2011-2-28,C2,00:14,AR1164,24
2011-3-1,M1,04:32,AR1164,155
2011-3-1,C3,09:32,AR1164,39
2011-3-2,C1,13:20,AR1164,5
2011-3-5,C1,01:12,AR1165,3
2011-3-5,C1,02:56,AR1165,15
2011-3-5,C2,09:10,AR1165,14
2011-3-5,C1,11:50,AR1165,42
2011-3-5,C1,20:14,AR1164,6
2011-3-5,C1,21:46,AR1164,22
2011-3-6,C2,01:36,AR1164,4
2011-3-6,C1,02:10,AR1165,5
2011-3-6,C2,03:46,AR1165,9
2011-3-6,C1,04:18,AR1164,9
2011-3-6,C1,04:46,AR1164,6
2011-3-6,C6,05:50,AR1164,24
2011-3-6,C3,06:22,AR1165,15
2011-3-6,C1,07:08,AR1164,6
2011-3-6,C1,07:34,AR1164,6
2011-3-6,C1,08:58,AR1165,13
2011-3-6,C1,09:06,AR1164,3
2011-3-6,C2,10:04,AR1164,8
2011-3-6,C4,10:44,AR1165,23
2011-3-6,C3,12:12,AR1164,16
2011-3-6,C4,13:52,,12
